timestamp,Навальный LIVE,Соловьёв LIVE,Эхо Москвы
2020-11-17 06:16:18.749446392,,12146.0,
2020-11-17 06:16:23.816070795,,12181.0,
2020-11-17 06:16:28.891266108,,12217.0,
2020-11-17 06:16:33.961520672,,12249.0,
2020-11-17 06:16:39.020702839,,12287.0,
2020-11-17 06:16:44.088980675,,12287.0,
2020-11-17 06:16:49.151114941,,12361.0,
2020-11-17 06:16:54.216577530,,12389.0,
2020-11-17 06:16:59.298763514,,12426.0,
2020-11-17 06:17:04.357616901,,12461.0,
2020-11-17 06:17:09.427940130,,12489.0,
2020-11-17 06:17:14.505041121,,12528.0,
2020-11-17 06:17:19.608290911,,12578.0,
2020-11-17 06:17:24.676251650,,12601.0,
2020-11-17 06:17:29.742395401,,12633.0,
2020-11-17 06:17:34.817548752,,12681.0,
2020-11-17 06:17:39.884675503,,12704.0,
2020-11-17 06:17:44.965587616,,12720.0,
2020-11-17 06:17:50.034222126,,12758.0,
2020-11-17 06:17:55.109273195,,12796.0,
2020-11-17 06:18:00.184410572,,12816.0,
2020-11-17 06:18:05.269765377,,12836.0,
2020-11-17 06:18:10.354534864,,12887.0,
2020-11-17 06:18:15.417793989,,12899.0,
2020-11-17 06:18:20.497127056,,12914.0,
2020-11-17 06:18:25.564860582,,12942.0,
2020-11-17 06:18:30.634019852,,12942.0,
2020-11-17 06:18:35.706889153,,12995.0,
2020-11-17 06:18:40.772614002,,13045.0,
2020-11-17 06:18:45.840184689,,13092.0,
2020-11-17 06:18:50.907725811,,13087.0,
2020-11-17 06:18:55.975146532,,13087.0,
2020-11-17 06:19:01.048382998,,13153.0,
2020-11-17 06:19:06.115151644,,13178.0,
2020-11-17 06:19:11.187056065,,13207.0,
2020-11-17 06:19:16.247461796,,13217.0,
2020-11-17 15:03:15.279241323,,,93.0
2020-11-17 15:03:20.340812445,,,102.0
2020-11-17 15:03:25.410459280,,,116.0
2020-11-17 15:03:30.473462582,,,129.0
2020-11-17 15:03:35.538645506,,,145.0
2020-11-17 15:03:40.608590841,,,158.0
2020-11-17 15:03:45.671582222,,,165.0
2020-11-17 15:03:50.754550934,,,177.0
2020-11-17 15:03:55.821532726,,,191.0
2020-11-17 15:04:00.888084650,,,201.0
2020-11-17 15:04:05.960108519,,,210.0
2020-11-17 15:04:11.032805442,,,218.0
2020-11-17 15:04:16.096530676,,,223.0
2020-11-17 15:04:21.163874388,,,224.0
2020-11-17 15:04:26.242733479,,,234.0
2020-11-17 15:04:31.309728622,,,252.0
2020-11-17 15:04:36.384248018,,,270.0
2020-11-17 15:04:41.461789846,,,282.0
2020-11-17 15:04:46.526258707,,,295.0
2020-11-17 15:04:51.605188131,,,304.0
2020-11-17 15:04:56.680604458,,,324.0
2020-11-17 15:05:01.764304399,,,338.0
2020-11-17 15:05:06.834302902,,,344.0
2020-11-17 15:05:11.901918650,,,356.0
2020-11-17 15:05:16.978048325,,,375.0
2020-11-17 15:05:22.045929432,,,393.0
2020-11-17 15:05:27.119597197,,,405.0
2020-11-17 15:05:32.191776752,,,411.0
2020-11-17 15:05:37.272430420,,,421.0
2020-11-17 15:05:42.347723007,,,432.0
2020-11-17 15:05:47.407155752,,,454.0
2020-11-17 15:05:52.476030111,,,468.0
2020-11-17 15:05:57.538148165,,,480.0
2020-11-17 15:06:02.617138624,,,495.0
2020-11-17 15:06:07.687815189,,,508.0
2020-11-17 15:06:12.756549358,,,516.0
2020-11-17 15:06:17.817519426,,,518.0
2020-11-17 15:06:22.874351025,,,531.0
2020-11-17 15:06:27.951009274,,,540.0
2020-11-17 15:06:33.036668777,,,545.0
2020-11-17 15:06:38.103363991,,,561.0
2020-11-17 15:06:43.172240734,,,577.0
2020-11-17 15:06:48.240766525,,,576.0
2020-11-17 15:06:53.312773466,,,585.0
2020-11-17 15:06:58.377120495,,,606.0
2020-11-17 15:07:03.438097477,,,615.0
2020-11-17 15:07:08.507529497,,,622.0
2020-11-17 15:07:13.589473486,,,628.0
2020-11-17 15:07:18.705684900,,,656.0
2020-11-17 15:07:23.785855293,,,670.0
2020-11-17 15:07:28.853398800,,,679.0
