timestamp,Эхо Москвы
2020-12-06 18:05:49.225392580,2166
2020-12-06 18:05:54.346472025,2196
2020-12-06 18:05:59.446566343,2232
2020-12-06 18:06:04.532688379,2255
2020-12-06 18:06:09.646412611,2298
2020-12-06 18:06:14.811645269,2334
2020-12-06 18:06:19.903206110,2362
2020-12-06 18:06:24.978562593,2397
2020-12-06 18:06:30.064157963,2417
2020-12-06 18:06:35.140697241,2447
2020-12-06 18:06:40.212983847,2483
2020-12-06 18:06:45.317907333,2522
2020-12-06 18:06:50.396997452,2543
2020-12-06 18:06:55.517480373,2568
2020-12-06 18:07:00.634265423,2607
2020-12-06 18:07:05.752061605,2624
2020-12-06 18:07:10.855216026,2667
2020-12-06 18:07:15.940661430,2714
2020-12-06 18:07:21.014921427,2743
2020-12-06 18:07:26.093836784,2782
2020-12-06 18:07:31.159492493,2822
2020-12-06 18:07:36.294736624,2882
2020-12-06 18:07:41.379924774,2882
2020-12-06 18:07:46.494512796,2931
2020-12-06 18:07:51.573693275,2961
2020-12-06 18:07:56.649884224,2961
2020-12-06 18:08:01.719521761,3002
2020-12-06 18:08:06.827836752,3041
2020-12-06 18:08:11.902958632,3070
2020-12-06 18:08:16.970636606,3094
2020-12-06 18:08:22.039282322,3108
2020-12-06 18:08:27.098496675,3144
2020-12-06 18:08:32.225855350,3179
2020-12-06 18:08:37.311344624,3207
2020-12-06 18:08:42.440627813,3230
2020-12-06 18:08:47.524152040,3252
2020-12-06 18:08:52.610972166,3285
2020-12-06 18:08:57.684304476,3333
2020-12-06 18:09:02.760144234,3359
2020-12-06 18:09:07.824313402,3389
2020-12-06 18:09:12.937463045,3423
2020-12-06 18:09:18.047180176,3439
2020-12-06 18:09:23.131530523,3456
2020-12-06 18:09:28.207744837,3481
2020-12-06 18:09:33.327316523,3505
2020-12-06 18:09:38.409620762,3521
2020-12-06 18:09:43.486887217,3565
2020-12-06 18:09:48.590548038,3573
2020-12-06 18:09:53.680737495,3589
2020-12-06 18:09:58.798231840,3624
2020-12-06 18:10:03.876370668,3636
2020-12-06 18:10:08.949984550,3666
2020-12-06 18:10:14.018827915,3700
2020-12-06 18:10:19.129472017,3705
2020-12-06 18:10:24.218291521,3734
2020-12-06 18:10:29.290879011,3759
